SPI
0.76
0.4
-1.18
0.34
-0.04
1.22
-0.54
-0.53
0.08
0.15
-0.56
1.3
1.93
-0.88
-1.18
-0.37
0.19
0.81
-0.39
-0.84
-0.27
-0.08
-2.21
1.2
-0.66
1.61
1.0
0.78
-2.02
